recipient,amount
0xa0067A9Ea8377dd27950007b44fb790405cD2f12,0.10
0x2b49809813Bb676819F7c8011B0db971cdA57E7b,0.11
0x5688D6bf4e6b49b83f017AAF4F76224B0CbcA41b,0.42
0xACf19E0Cb91017E74c5B788110E0b203736235fE,0.46
0xA951d4Fce3E6ee209C855421aeC8A37Af33b8C07,0.50
0x1E1a4e777e08c368e2b21B34999c8d0187EBa2F7,0.62
0x661aB60b9c4637ADdC475F65de417c478da11A26,0.64
0x81762E633e2ff343422e65A5D67Ec6AcE60Bbe65,1.23
0x69bb873b8AF3D117dC61DCE5F91De7ADFa5B60C0,1.92
0xb919caB8962c5e6d8CC0483661819a44a8FF98e6,2.43
0x7bA3c3BFC0F95cc5eF4Aa0B58b51F6eEcc24ce45,3.29
0xd6569809f2F05BeEeDA51FD7f01b3489EF759975,3.89
0x26Cb1DBAd7349B57af814A22718D04d0fCdfbeB1,4.05
0xAeb055eDd6B843aff4843AF84C687Ab25c9cC885,4.12
0x7676b134E88bACB4e0C6c9b34d80C94c77E89232,5.02
0xbc2E07a461ef6194545c4BBAd0e3F64679331eA9,5.09
0x83bACd979A331a97d65fE5bf3fD1373F5c27B372,5.31
0x97c53A310a94bad23877e950b9Ec26C1c7D19F4b,5.33
0x95c14C058Aaffda687780eB60Ef8658EF1166578,5.55
0x5C36CCB22C99fddD675DCfa2981Ed42fD84D778a,7.96
0xbA8D35B178C8CB9F1f29D86c94B5fD8aa5EFf462,7.99
0x0bCb98735BCAaB1b2e49da7152d59B16015b83E5,8.14
0xF55ec984218afF3648E5176FAbB03F7Dbc6C4696,15.98
0xd3DdC8461663e8eC49A4d6bcF54C70734167dB1C,17.29
0x402904E954aebEE2E78b7B09595393cf05571333,21.03
0xCef13dAa45cA6CA8B1af80E20280c7E5f6016B3c,21.29
0x81Fe712bACD1a1f06601946469AD1ab631abeA04,22.68
0xb4E841eeA72e02241143BE24e1a3A18B6Af67675,24.52
0x17ae2F9eb1Bb329C0f0B56187f76e9400DDCf172,25.11
0x5C5082eE760e4F4e6dA47bee7311137B593c077b,29.41
0xc1272aa47B2B0fBFCA527Da221F02c7b274A02e8,35.62
0xF7c1E17E2e98f69a5e7E2B7fd5332360FffC7699,38.14
0xfD6EE60FD62Ff8D36EDdB1Fa5D7Fc75480057672,46.60
0x42bCc5c5594ba438185a54204048D16e59E73a62,58.73
0xbfb496ACb99299e9eCE84B3FD1B3fDd0f6CDDf49,65.73
0x7f5ae40d25260757C32C053880A5E3D4DB4f3481,66.81
0xE6BF40e81038050D76D658281ed6BCdF752D23BB,93.41
0xE0075cB3A1a45c3061cd636f9F69cb7c223823C9,109.59
0x838C80B3Fe376B4043781507D76f57C6DB0D7D19,133.04
0xC9C0c7E9d6423A61a82a872B2496F685212e0a56,152.64
0x7d41be7B63db524A57A59E2c8565cfF78e9CA5a8,343.13
0xFF0B6Ffc4507812f5380062d91a79E464508BdE1,485.35
0x6760Ff558c1db2231EB2Cf1D16de05B01231193E,5127.39
